Certification_body,Registration_number,cb_region_number,Email,Status,12.2024
"ООО ""СЕРКОНС АКАДЕМИЯ""",7736663779,50,info@promstandartrus.ru,Начальный,0
АО «СЖС Восток Лимитед»,7703007980,50,ssc.russia@sgs.com,Продвинутый,0
"ООО ""МЕДИТЕСТ""",7702846238,50,meditest@yandex.ru,Начальный,0
"ООО ""РЦС""",7224044688,72,Regzentrsert72@mail.ru,Начальный,0
"ООО ""РУСТЕХСЕРТ""",6670121450,66,rostehcert@rostehcert.ru,Начальный,0
АССОЦИАЦИЯ РУССКИЙ РЕГИСТР,7825457880,47,rr-head@rusregister.ru,Начальный,0
"ООО ""ОС СМК-ИСО 9001""",7204178316,72,smk-iso-9001@mail.ru,Начальный,0
"ООО ССУ ""ДЭКУЭС""",7606044591,76,dqs@dqs-russia.ru,БАН,0
"ЧУ ""ЦССК ""ИНТЕРЭКОМС""",7734188013,50,qs@interecoms.ru,Начальный,0
"АНО ""ЦМКС""",7453100944,74,ageeva@cmks.ru,Начальный,0
"АНО ""ИНИС ВВТ""",7705285301,50,inis@inis.ru,Начальный,0
"ООО ""КЦ ""ПЕРСПЕКТИВА""",7701665503,50,info@kc-perspektiva.ru,Начальный,0
"ООО ""ЦСМ""",7715993984,50,smk@csm77.ru,Начальный,0
"ООО ""МСС""",7710581786,50,info@icsms.ru,Начальный,0
"ООО НЦС ""Менеджмент""",5260170853,52,ncs_management@mail.ru,Начальный,0
ООО ПРОМСТРОЙ-СЕРТИФИКАЦИЯ,7714156856,50,ps-s@ps-s.ru,Начальный,0
"ООО ""Самарский ЦИС""",6312046805,63,samcis@samaramail.ru,Начальный,0
"ООО ""ТЦУК""",7106054337,71,sm@smktula.ru,Начальный,0
"ФБУ ""ТАМБОВСКИЙ ЦСМ""",6833002042,68,tcsm@tmb.ru,Пассивный,0
"ООО ""ЮГ-ТЕСТ""",6163064851,61,ugtest@ugtest.ru,Начальный,0
"ФГУП ""НАМИ""",7711000924,50,qms@nami-fond.ru,Пассивный,0
ФБУ «Крымский ЦСМ»,9102031678,99,krimgost@pop.cris.net,Пассивный,0
"ООО ""ЭЛМАС""",5052001759,50,info@elmas.ru,Начальный,0
"ООО ""ЦИСИА""",5260276289,52,csiann@yandex.ru,Начальный,0
"ООО ""Новастандарт""",7716778475,50,nova-standart@yandex.ru,Начальный,0
ООО «РОСТ»,7724306821,50,rost@rostcertification.ru,Начальный,0
"ФГБУ ""НЦБРП""",7810102130,50,mail@fishquality.ru,Пассивный,0
"ООО ""ПРОНАП-ТЕХНО""",7453049656,74,smk@pronaptechno.ru,Начальный,0
ГОЦИСС,7810915827,47,info@gociss.ru,Начальный,0
"""САМТ-ФОНД""",7713141230,50,griff@samt-fond.ru,Начальный,0
"ФБУ ""Самарский ЦСМ""",6311012306,63,ossm@samaragost.ru,Пассивный,0
"АО ""Бюро Веритас Сертификейшн Русь""",7709670368,50,info@bureau-veritas.ru,Продвинутый,0
"СОЮЗ ""ЮЖНО-УРАЛЬСКАЯ ТОРГОВО-ПРОМЫШЛЕННАЯ ПАЛАТА""",7451016239,74,ossk@tpp74.ru,Начальный,0
"ООО ""МОНОЛИТ-Серт""",7713411574,50,mail@csmonolit.ru,Начальный,0
ООО «РЦСМ «РЕГИОН-СТАНДАРТ»,1831105614,18,region-standart@mail.ru,Начальный,0
"АО ""РОСТЕСТ""",7706278628,50,rostest@rtmsk.ru,Начальный,0
"АО ""РСМЦ ""ТЕСТ-ТАТАРСТАН""",1660061040,16,test-tatarstan@rsmc.ru,Начальный,0
"ФБУ ""КУЗБАССКИЙ ЦСМ""",4207007095,42,info@kuzcsm.ru,Начальный,0
"ЧУ ""Воронежский центр сертификации и мониторинга""",3666099693,36,mail@vcsm.ru,Начальный,0
"ФБУ ""УЛЬЯНОВСКИЙ ЦСМ""",7303001430,73,csm@ulcsm.ru,Пассивный,0
"ООО ""ПРОМСТРОЙСЕРТИФИКАЦИЯ""",7705705806,50,pssert@mail.ru,Начальный,0
"АНО ""СЦ СВЯЗЬ - СЕРТИФИКАТ""",7731186699,50,info@sert.ru,Начальный,0
"ООО ""Новосибирский ЦСМ""",5401201306,54,info@ncsm-sib.ru,Начальный,0
"ФГБУ НИИР (ОС СМК ""Омега"")",9709082715,50,info@niir.ru,Пассивный,0
"ООО ""НУЦ ""КАЧЕСТВО""",7715552355,50,info@centr-kachestvo.ru,Начальный,0
"ООО ""Тест-С.-Петербург""",7826172863,47,cert@test-spb.ru,Продвинутый,0
"ООО ""ЦЕНТР СЕРТИФИКАЦИИ И ЭКСПЕРТИЗЫ ""ЮСК""",2310229771,23,info@usk-center.ru,Начальный,0
"ФБУ ""КРАСНОЯРСКИЙ ЦСМ""",2464019742,24,csm@krascsm.ru,Пассивный,0
РОСКАЧЕСТВО,9705044437,50,info@roskachestvo.gov.ru,Начальный,0
"ООО ""ВКО-ИНТЕЛЛЕКТ""",5013038988,50,info@vko-intellekt.ru,Начальный,0
Фонд «СКМ»,7811052972,47,info@fondskm.ru,Начальный,0
"ООО ""АКАДЕМИЯ-СЕРТ""",7723538675,50,ak-sert@mail.ru,Начальный,0
"ООО ""ВЛАДИМИР-ТЕСТ""",3327307099,33,lnfo@vladtest33.ru,Начальный,0
"АНО ""НТЦ ""АЛЬФА РЕГИСТР""",7730185614,50,info@alfa-iso.ru,Начальный,0
